papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y,Data_Snapshot,Ticker,Empresa,Segmento,Regiao_Atuacao,Estados_Atuacao
ALUP11,34.65,9.82,1.27,2.621,0.037000000000000005,0.363,3.09,4.04,-0.88,7.32,6.88,0.6481,0.3947,0.1005,0.1293,2.55,31822500.0,8999650000.0,1.39,-0.08810000000000001,2026-03-05,ALUP11,Alupar,Transmissão,Norte/Nordeste/Centro-Oeste/Sudeste/Sul,"SP,MG,GO,MT,MS,PA,AM,RR,MA,PI,CE,RN,PB,PE,SE,BA,ES,RJ,PR,SC,RS"
AURE3,12.04,-19.05,1.01,0.96,0.004699999999999999,0.26,6.14,8.42,-0.48,21.94,10.8,0.114,-0.042300000000000004,0.035,-0.053099999999999994,1.32,50192200.0,12508800000.0,1.97,0.4343,2026-03-05,AURE3,Auren,Geração,Norte/Nordeste/Centro-Oeste/Sudeste/Sul,"SP,PI,PE,RS,RN,BA,MG,GO,MS,MT,PA,TO"
AXIA3,61.34,27.27,1.51,4.332,0.058600000000000006,0.639,8.47,31.29,-1.64,39.47,21.92,0.1384,0.1589,0.023,0.0554,1.68,681916000.0,118430000000.0,0.63,0.035699999999999996,2026-03-05,AXIA3,Axia (ex-Eletrobras),Integrada,Norte/Nordeste/Centro-Oeste/Sudeste/Sul,"AC,AL,AP,AM,BA,CE,DF,ES,GO,MA,MT,MS,MG,PA,PB,PR,PE,PI,RJ,RN,RS,RO,RR,SC,SP,SE,TO"
CEEB3,47.5,6.37,1.59,0.677,0.1267,0.347,10.05,2.82,-0.61,6.82,5.5,0.2402,0.1063,0.1396,0.249,1.19,32964.4,7848000000.0,2.59,0.0698,2026-03-05,CEEB3,Coelba,Distribuição,Nordeste,BA
CLSC4,148.74,8.18,1.45,0.492,0.0654,0.425,8.15,4.9,-0.99,8.42,6.37,0.1005,0.0602,0.09609999999999999,0.1775,1.23,515512.0,3951430000.0,1.15,0.008,2026-03-05,CLSC4,Celesc,Integrada,Sul,SC
CMIG4,11.81,8.41,1.18,0.797,0.0761,0.522,-20.65,5.15,-1.48,7.14,5.83,0.1548,0.09480000000000001,0.11109999999999999,0.1399,0.89,152656000.0,28728500000.0,0.54,0.0764,2026-03-05,CMIG4,Cemig,Integrada,Sudeste/Centro-Oeste,"MG,SP,RJ,ES,GO"
CPFE3,48.29,10.21,2.45,1.251,0.0579,0.675,547.18,4.91,-1.38,6.93,5.87,0.2546,0.1293,0.1564,0.2404,1.01,103707000.0,22670100000.0,1.27,0.0387,2026-03-05,CPFE3,CPFL Energia,Integrada,Sudeste/Sul,"SP,RS,MG,PR"
CPLE6,14.26,15.82,1.84,1.629,0.030699999999999998,0.704,-235.44,9.15,-1.61,12.78,9.69,0.17809999999999998,0.10289999999999999,0.0858,0.1162,0.98,0.0,23130000000.0,0.87,0.020499999999999997,2026-03-05,CPLE6,Copel,Integrada,Sul/Sudeste,"PR,SP,SC,RS"
EGIE3,33.01,14.6,2.96,2.932,0.0407,0.682,50.08,6.87,-1.09,11.48,9.16,0.4267,0.22219999999999998,0.1076,0.2025,1.12,65730700.0,12757700000.0,2.25,-0.0009,2026-03-05,EGIE3,Engie Brasil,Integrada,Norte/Nordeste/Centro-Oeste/Sudeste/Sul,"SC,RS,PR,SP,MG,RJ,ES,BA,SE,PI,MA,TO,GO,MT,MS"
EKTR4,38.99,7.89,3.7,0.757,0.1297,0.578,20.09,3.19,-1.0,6.51,5.46,0.2373,0.096,0.2003,0.4694,1.12,39235.7,2041000000.0,4.04,0.0435,2026-03-05,EKTR4,Elektro,Distribuição,Sudeste/Centro-Oeste,"SP,MS"
ENEV3,21.06,1198.48,2.05,2.368,0.0,0.749,17.39,11.88,-1.7,16.4,9.34,0.19940000000000002,0.0319,0.07,0.0017000000000000001,1.34,393944000.0,19852600000.0,0.98,0.36810000000000004,2026-03-05,ENEV3,Eneva,Geração,Norte/Nordeste/Centro-Oeste,"MA,CE,AM,RR,SE,BA,MS"
ENGI11,54.04,8.25,1.47,0.762,0.0286,0.328,4.9,4.0,-0.67,8.63,6.63,0.1906,0.12,0.09699999999999999,0.17859999999999998,1.39,146296000.0,18484500000.0,2.22,0.0867,2026-03-05,ENGI11,Energisa,Integrada,Norte/Nordeste/Centro-Oeste/Sudeste/Sul,"MG,RJ,SP,PR,SE,PB,MT,MS,TO,RO,AC"
EQTL3,41.79,15.65,1.84,1.026,0.0545,0.417,4.46,5.18,-0.87,9.82,7.84,0.19829999999999998,0.0801,0.096,0.11779999999999999,1.57,291307000.0,28549100000.0,2.19,0.2404,2026-03-05,EQTL3,Equatorial,Integrada,Norte/Nordeste/Centro-Oeste/Sul,"MA,PA,PI,AL,RS,GO,AP"
GEPA4,35.0,0.0,0.0,0.0,0.2917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22524.4,0.0,0.0,0.0166,2026-03-05,GEPA4,Rio Paranapanema,Geração,Sudeste/Sul,"SP,PR"
ISAE4,28.44,7.65,0.89,1.991,0.07780000000000001,0.397,3.6,5.22,-1.0,9.07,8.98,0.38170000000000004,0.2668,0.0802,0.1157,3.76,64199900.0,21151500000.0,0.76,0.1551,2026-03-05,ISAE4,ISA Energia,Transmissão,Nordeste/Centro-Oeste/Sudeste/Sul,"SP,MG,SC,PR,RS,RJ,ES,MT,MS,GO,BA,SE,AL,PE,PI,MA,TO"
LIGT3,4.81,0.78,0.32,0.12,0.0,0.07,-30.99,1.23,-0.13,5.97,3.63,0.0973,0.1536,0.0699,0.4083,0.99,6775540.0,5622130000.0,1.69,-0.003,2026-03-05,LIGT3,Light,Distribuição,Sudeste,RJ
NEOE3,32.82,7.92,1.09,0.757,0.044500000000000005,0.334,5.91,3.42,-0.72,7.59,6.0,0.2216,0.09609999999999999,0.1107,0.138,1.32,68489100.0,36451000000.0,1.58,0.0546,2026-03-05,NEOE3,Neoenergia,Integrada,Nordeste/Centro-Oeste/Sudeste,"BA,PE,RN,SP,MS,DF"
TAEE11,43.19,8.63,1.95,3.299,0.0748,0.682,10.96,6.46,-1.38,10.47,10.3,0.511,0.3821,0.1127,0.2254,1.67,86104300.0,7645340000.0,1.35,0.06269999999999999,2026-03-05,TAEE11,Taesa,Transmissão,Norte/Nordeste/Centro-Oeste/Sudeste/Sul,"MG,SP,PR,RS,SC,RJ,ES,BA,SE,AL,PE,PB,RN,CE,PI,MA,TO,GO,MT,MS,PA"
